序号,区域名称,所属部位ID,所属图像,是否镜像,区域,备注
1,鼻梁,131,面部女,0,292-465-60-51,无
2,鼻头,132,面部女,0,281.3-516.8-63.8-64.7,无
3,鼻根,133,面部女,0,299-401-53.9-60.4,无
4,鼻翼,134,面部女,0,342-525.9-48.5-60.4,无
5,眼球,105,面部女,0,385-412-79-34,无
6,眼内眦,135,面部女,0,359.8-419.4-21.2-45.6,无
7,眼外眦,136,面部女,0,462.3-411.3-57.3-44.3,无
8,上眼睑,137,面部女,0,352.9-381.9-171.2-50.2,无
9,下眼睑,138,面部女,0,381-441.4-114.5-54.7,无
10,额头,139,面部女,0,236-164.1-236.6-191.9,无
11,印堂,140,面部女,0,286-359-62-41,无
12,颞部,107,面部女,0,452-171-237-271,无
13,太阳穴,141,面部女,0,528.8-397.5-59.4-60.4,无
14,颧弓,142,面部女,0,548.6-431.1-111.2-88.9,无
15,颧骨,143,面部女,0,441.7-410.8-131.4-149.7,无
16,内面颊,109,面部女,0,440.8-570.3-95.2-109.1,无
17,外面颊,110,面部女,0,518-484.1-131-145,无
18,苹果肌,111,面部女,0,390.8-489-116.8-120,无
19,人中,144,面部女,0,315-586.4-23-47.6,无
20,唇角,145,面部女,0,397.4-640-41.6-49.7,无
21,上唇,146,面部女,0,293-631.9-116-23.8,无
22,下唇,147,面部女,0,295-656-114-39,无
23,下颌,113,面部女,0,466.8-567.9-173.2-190.8,无
24,下颏,114,面部女,0,298.9-697.7-167.8-82.3,无
25,耳部,184,面部女,0,645-398-102-177,无
26,颈部,148,面部女,0,405-659-278-216,无
27,眉部,116,面部女,0,346.1-351.7-158.9-39.4,无
28,头,117,躯干,0,464-72-73-110,无
29,肩颈部,118,躯干,0,440-177-124-50,无
30,胸,123,躯干,0,433-226-134-123,无
31,嘎鸡窝,119,躯干,414-249-30-40,553-249-25-40,无
32,右二头肌,120,躯干,0,581-239-34-94,无
33,右手臂,121,躯干,0,625-353-47-88,无
34,右手掌,122,躯干,0,667-447-70-85,无
35,腰,124,躯干,0,441-353-120-61,无
36,臀,125,躯干,0,417-413-167-109,无
37,右大腿,126,躯干,0,505-497-80-192,无
38,膝盖,185,躯干,0,512-693-43-22,无
39,右小腿,127,躯干,0,506-718-53-144,无
40,右脚掌,128,躯干,0,510-883-49-52,无
