序号,区域名称,所属部位ID,所属图像,是否镜像,区域
1,鼻梁,131,面部女,0,292-465-60-51
,,,,,
,,,,,
一,鼻部,1.鼻梁,,0,292-465-60-51
,,,,,
,,2.鼻头,,0,281.3-516.8-63.8-64.7
,,,,,
,,3.鼻根,,0,299-401-53.9-60.4
,,,,,
,,4.鼻翼,,1047.35-1097.5-44.1-47.9,342-525.9-48.5-60.4
,,,,,
二,眼部,1.眼球,,1,385-412-79-34
,,,,,
,,2.眼内眦,,1112.9-993.8-24.55-21.45,359.8-419.4-21.2-45.6
,,,,,
,,3.眼外眦,,1239.95-990.25-29.05-15.3,462.3-411.3-57.3-44.3
,,,,,
,,4.上眼睑,,1097-912.5-230-89,352.9-381.9-171.2-50.2
,,,,,
,,5.下眼睑,,1131.65-996.85-127.55-42.75,381-441.4-114.5-54.7
,,,,,
三,脸部,脸全局,,1,
,,,,,
四,额部,1.额头,,0,236-164.1-236.6-191.9
,,,,,
,,2.印堂,,0,286-359-62-41
,,,,,
五,颞部,1.颞部,,1315.6-660.4-344.8-377.1,452-171-237-271
,,,,,
,,2.太阳穴,,1321-902-79-75,528.8-397.5-59.4-60.4
六,颧部,1.颧部,,1,
,,2.颧弓,,1394.5-1000-180-133,548.6-431.1-111.2-88.9
,,3.颧骨,,1215.05-988-199.45-179.5,441.7-410.8-131.4-149.7
,,,,,
七,内面颊,1.内面颊,,1128.5-1177-121.5-98.5,440.8-570.3-95.2-109.1
,,,,,
八,外面颊,1.外面颊,,1231.5-1127-316.5-139,518-484.1-131-145
,,,,,
九,苹果肌,1.苹果肌,,1111-1065.5-108-107.5,390.8-489-116.8-120
,,,,,
十,唇部,1.唇部全局,,0,
,,2.人中,,0,315-586.4-23-47.6
,,,,,
,,3.唇角,,1096.95-1222.75-29.65-27.2,397.4-640-41.6-49.7
,,,,,
,,4.上唇,,0,293-631.9-116-23.8
,,,,,
,,5.下唇,,0,295-656-114-39
,,,,,
十一,下颌,1.下颌,,1093.5-1211-468-225,466.8-567.9-173.2-190.8
,,,,,
十二,下颏,1.下颏,,0,298.9-697.7-167.8-82.3
,,,,,
十三,颈颌部,1.颈颌部,,0,405-659-278-216
,,,,,
十四,眉部,1.眉,,1085.5-875.5-249-64.1,346.1-351.7-158.9-39.4
